algorithm,scenario,run,success_rate,avg_steps,avg_reward,duration_minutes,episodes
Q-Learning,static,1,87.48357076505616,14.585207096486446,-3.704622923798615,0.6560830889580107,500
Q-Learning,static,2,86.28699962672347,12.274555701658016,-5.757006212117647,0.8271390558111398,500
Q-Learning,static,3,81.24692641372063,18.949071974135457,-2.5077199427131394,0.8937795510882514,500
DQN,static,1,0.0,2.0,-12.0,0.2233342965443929,500
DQN,static,2,0.0,2.0,-12.0,0.2066162427266439,500
DQN,static,3,0.0,2.0,-12.0,0.21111360390981038,500
Q-Learning,random_start,1,78.47699907107862,19.446942795315262,-0.704622923798615,0.6560186404424365,500
Q-Learning,random_start,2,76.80179947741286,16.366074268877355,-2.7570062121176466,0.8271390558111398,500
Q-Learning,random_start,3,69.74569697920889,25.265429298847277,0.49228005728686064,0.8937795510882514,500
DQN,random_start,1,100.0,4.31,6.69,0.13107659419377646,500
DQN,random_start,2,100.0,4.31,6.69,0.13169580300649006,500
DQN,random_start,3,100.0,4.31,6.69,0.1298465132713318,500
Q-Learning,random_goal,1,78.47699907107862,19.446942795315262,-0.704622923798615,0.6560186404424365,500
Q-Learning,random_goal,2,76.80179947741286,16.366074268877355,-2.7570062121176466,0.8271390558111398,500
Q-Learning,random_goal,3,69.74569697920889,25.265429298847277,0.49228005728686064,0.8937795510882514,500
DQN,random_goal,1,18.0,8.0,-14.22,0.27188229163487754,500
DQN,random_goal,2,18.0,8.0,-14.22,0.27669034004211424,500
DQN,random_goal,3,18.0,8.0,-14.22,0.27621414661407473,500
Q-Learning,random_obstacles,1,78.47699907107862,19.446942795315262,-0.704622923798615,0.6560186404424365,500
Q-Learning,random_obstacles,2,76.80179947741286,16.366074268877355,-2.7570062121176466,0.8271390558111398,500
Q-Learning,random_obstacles,3,69.74569697920889,25.265429298847277,0.49228005728686064,0.8937795510882514,500
DQN,random_obstacles,1,36.0,5.41,-7.85,0.19573102394739786,500
DQN,random_obstacles,2,36.0,5.41,-7.85,0.19582717418670653,500
DQN,random_obstacles,3,36.0,5.41,-7.85,0.2007043202718099,500
Q-Learning,container,1,73.97371322408986,24.308678494144075,6.9430656143020775,0.6560186404424365,500
Q-Learning,container,2,72.05919940275754,20.457592836096694,3.86449068182353,0.8271390558111398,500
Q-Learning,container,3,63.995082261953016,31.581786623559097,8.73842008593029,0.8937795510882514,500
DQN,container,1,4.0,8.01,-13.69,0.17203474839528402,500
DQN,container,2,4.0,8.01,-13.69,0.17126888036727905,500
DQN,container,3,4.0,8.01,-13.69,0.19191561142603555,500
