algorithm,scenario,run,success_rate,avg_steps,avg_reward
Q-Learning,static,1,100.0,8.0,3.0
Q-Learning,static,2,100.0,8.0,3.0
Q-Learning,static,3,100.0,8.0,3.0
DQN,static,1,0.0,2.026,-12.026
DQN,static,2,0.0,2.026,-12.026
DQN,static,3,0.0,2.026,-12.026
Q-Learning,random_start,1,100.0,4.012,6.988
Q-Learning,random_start,2,100.0,4.154,6.846
Q-Learning,random_start,3,100.0,4.106,6.894
DQN,random_start,1,100.0,4.37,6.63
DQN,random_start,2,100.0,4.37,6.63
DQN,random_start,3,100.0,4.37,6.63
Q-Learning,random_goal,1,15.4,2.064935064935065,-17.236
Q-Learning,random_goal,2,13.8,2.0579710144927534,-17.73
Q-Learning,random_goal,3,19.0,2.0210526315789474,-16.114
DQN,random_goal,1,17.4,8.22,-14.566
DQN,random_goal,2,17.4,8.22,-14.566
DQN,random_goal,3,17.4,8.22,-14.566
Q-Learning,random_obstacles,1,31.6,8.0,-8.438
Q-Learning,random_obstacles,2,29.2,8.0,-8.736
Q-Learning,random_obstacles,3,33.2,8.0,-7.944
DQN,random_obstacles,1,32.0,5.048,-8.328
DQN,random_obstacles,2,32.0,5.048,-8.328
DQN,random_obstacles,3,32.0,5.048,-8.328
Q-Learning,container,1,0.0,50.0,-12.608
Q-Learning,container,2,0.0,50.0,-12.566
Q-Learning,container,3,0.0,50.0,-12.706
DQN,container,1,3.5999999999999996,8.408,-14.88
DQN,container,2,3.5999999999999996,8.408,-14.88
DQN,container,3,3.5999999999999996,8.408,-14.88
