algorithm,scenario,run,success_rate,avg_steps,avg_reward,duration_minutes,episodes
Q-Learning,static,1,87.48357076505616,14.585207096486446,-3.704622923798615,0.656052754167463,500
Q-Learning,static,2,86.28699962672347,12.274555701658016,-5.757006212117647,0.8271390558111398,500
Q-Learning,static,3,81.24692641372063,18.949071974135457,-2.5077199427131394,0.8937795510882514,500
DQN,static,1,86.0,11.23,-3.17,0.2856319467226664,500
DQN,static,2,86.0,11.23,-3.17,0.29006937344868977,500
DQN,static,3,86.0,11.23,-3.17,0.2997520327568054,500
Q-Learning,random_start,1,78.47699907107862,19.446942795315262,-0.704622923798615,0.6560186404424365,500
Q-Learning,random_start,2,76.80179947741286,16.366074268877355,-2.7570062121176466,0.8271390558111398,500
Q-Learning,random_start,3,69.74569697920889,25.265429298847277,0.49228005728686064,0.8937795510882514,500
DQN,random_start,1,100.0,4.3,6.7,0.2059449831644694,500
DQN,random_start,2,100.0,4.3,6.7,0.23163344462712607,500
DQN,random_start,3,100.0,4.3,6.7,0.24454150994618734,500
Q-Learning,random_goal,1,78.47699907107862,19.446942795315262,-0.704622923798615,0.6560186404424365,500
Q-Learning,random_goal,2,76.80179947741286,16.366074268877355,-2.7570062121176466,0.8271390558111398,500
Q-Learning,random_goal,3,69.74569697920889,25.265429298847277,0.49228005728686064,0.8937795510882514,500
DQN,random_goal,1,24.0,8.76,-13.72,0.41088348229726157,500
DQN,random_goal,2,24.0,8.76,-13.72,0.38919568856557213,500
DQN,random_goal,3,24.0,8.76,-13.72,0.26453136603037514,500
Q-Learning,random_obstacles,1,78.47699907107862,19.446942795315262,-0.704622923798615,0.6560186404424365,500
Q-Learning,random_obstacles,2,76.80179947741286,16.366074268877355,-2.7570062121176466,0.8271390558111398,500
Q-Learning,random_obstacles,3,69.74569697920889,25.265429298847277,0.49228005728686064,0.8937795510882514,500
DQN,random_obstacles,1,32.0,5.02,-8.3,0.20187350114186606,500
DQN,random_obstacles,2,32.0,5.02,-8.3,0.22668744325637818,500
DQN,random_obstacles,3,32.0,5.02,-8.3,0.25048149824142457,500
Q-Learning,container,1,73.97371322408986,24.308678494144075,6.9430656143020775,0.6560186404424365,500
Q-Learning,container,2,72.05919940275754,20.457592836096694,3.86449068182353,0.8271390558111398,500
Q-Learning,container,3,63.995082261953016,31.581786623559097,8.73842008593029,0.8937795510882514,500
DQN,container,1,2.0,3.65,-11.15,0.17007001241048178,500
DQN,container,2,2.0,3.65,-11.15,0.16037410895029705,500
DQN,container,3,2.0,3.65,-11.15,0.1623985727628072,500
