,,success_rate,success_rate,success_rate,success_rate,avg_steps,avg_steps,avg_steps,avg_steps,avg_reward,avg_reward,avg_reward,avg_reward
,,mean,std,min,max,mean,std,min,max,mean,std,min,max
algorithm,scenario,,,,,,,,,,,,
DQN,container,2.0,0.0,2.0,2.0,3.65,0.0,3.65,3.65,-11.15,0.0,-11.15,-11.15
DQN,random_goal,24.0,0.0,24.0,24.0,8.76,0.0,8.76,8.76,-13.72,0.0,-13.72,-13.72
DQN,random_obstacles,32.0,0.0,32.0,32.0,5.02,0.0,5.02,5.02,-8.3,0.0,-8.3,-8.3
DQN,random_start,100.0,0.0,100.0,100.0,4.3,0.0,4.3,4.3,6.7,0.0,6.7,6.7
DQN,static,86.0,0.0,86.0,86.0,11.23,0.0,11.23,11.23,-3.17,0.0,-3.17,-3.17
Q-Learning,container,70.009,5.296,63.995,73.974,25.449,5.649,20.458,31.582,6.515,2.465,3.864,8.738
Q-Learning,random_goal,75.008,4.634,69.746,78.477,20.359,4.519,16.366,25.265,-0.99,1.643,-2.757,0.492
Q-Learning,random_obstacles,75.008,4.634,69.746,78.477,20.359,4.519,16.366,25.265,-0.99,1.643,-2.757,0.492
Q-Learning,random_start,75.008,4.634,69.746,78.477,20.359,4.519,16.366,25.265,-0.99,1.643,-2.757,0.492
Q-Learning,static,85.006,3.31,81.247,87.484,15.27,3.389,12.275,18.949,-3.99,1.643,-5.757,-2.508
