,,success_rate,success_rate,success_rate,success_rate,avg_steps,avg_steps,avg_steps,avg_steps,avg_reward,avg_reward,avg_reward,avg_reward
,,mean,std,min,max,mean,std,min,max,mean,std,min,max
algorithm,scenario,,,,,,,,,,,,
DQN,container,3.6,0.0,3.6,3.6,8.408,0.0,8.408,8.408,-14.88,0.0,-14.88,-14.88
DQN,random_goal,17.4,0.0,17.4,17.4,8.22,0.0,8.22,8.22,-14.566,0.0,-14.566,-14.566
DQN,random_obstacles,32.0,0.0,32.0,32.0,5.048,0.0,5.048,5.048,-8.328,0.0,-8.328,-8.328
DQN,random_start,100.0,0.0,100.0,100.0,4.37,0.0,4.37,4.37,6.63,0.0,6.63,6.63
DQN,static,0.0,0.0,0.0,0.0,2.026,0.0,2.026,2.026,-12.026,0.0,-12.026,-12.026
Q-Learning,container,0.0,0.0,0.0,0.0,50.0,0.0,50.0,50.0,-10.354,0.499,-10.838,-9.842
Q-Learning,random_goal,10.533,1.724,9.0,12.4,1.495,0.041,1.451,1.533,-17.787,0.527,-18.258,-17.218
Q-Learning,random_obstacles,33.933,1.793,32.8,36.0,8.0,0.0,8.0,8.0,-7.923,0.266,-8.126,-7.622
Q-Learning,random_start,100.0,0.0,100.0,100.0,4.134,0.092,4.028,4.194,6.866,0.092,6.806,6.972
Q-Learning,static,100.0,0.0,100.0,100.0,8.0,0.0,8.0,8.0,3.0,0.0,3.0,3.0
