algorithm,scenario,run,seed,success_rate,avg_steps,avg_reward,duration_minutes,episodes
Q-Learning,static,1,42,100.0,8.0,3.0,0.00033944050470987956,500
Q-Learning,static,2,43,100.0,8.0,3.0,0.00036020676294962564,500
Q-Learning,static,3,44,100.0,8.0,3.0,0.0003537774085998535,500
DQN,static,1,42,0.0,2.026,-12.026,0.024729772408803304,500
DQN,static,2,43,0.0,2.026,-12.026,0.005002999305725097,500
DQN,static,3,44,0.0,2.026,-12.026,0.005109035968780517,500
Q-Learning,random_start,1,42,100.0,4.154,6.846,0.0002713918685913086,500
Q-Learning,random_start,2,43,100.0,4.162,6.838,0.0002707799275716146,500
Q-Learning,random_start,3,44,100.0,4.082,6.918,0.00025163491566975913,500
DQN,random_start,1,42,100.0,4.37,6.63,0.010469377040863037,500
DQN,random_start,2,43,100.0,4.37,6.63,0.010412418842315673,500
DQN,random_start,3,44,100.0,4.37,6.63,0.010380168755849203,500
Q-Learning,random_goal,1,42,8.200000000000001,1.5853658536585367,-18.506,0.0004920125007629395,500
Q-Learning,random_goal,2,43,10.0,1.52,-17.952,0.0004935185114542643,500
Q-Learning,random_goal,3,44,11.200000000000001,1.5535714285714286,-17.59,0.00044879913330078127,500
DQN,random_goal,1,42,17.4,8.22,-14.566,0.019090708096822104,500
DQN,random_goal,2,43,17.4,8.22,-14.566,0.019072786966959635,500
DQN,random_goal,3,44,17.4,8.22,-14.566,0.019119004408518474,500
Q-Learning,random_obstacles,1,42,33.4,8.0,-7.948,0.0003823240598042806,500
Q-Learning,random_obstacles,2,43,28.4,8.0,-8.912,0.00039072434107462564,500
Q-Learning,random_obstacles,3,44,34.2,8.0,-7.94,0.0003989378611246745,500
DQN,random_obstacles,1,42,32.0,5.048,-8.328,0.012120294570922851,500
DQN,random_obstacles,2,43,32.0,5.048,-8.328,0.012187035878499348,500
DQN,random_obstacles,3,44,32.0,5.048,-8.328,0.01214893658955892,500
Q-Learning,container,1,42,0.0,50.0,-11.99,0.0008132298787434896,500
Q-Learning,container,2,43,0.0,50.0,-11.018,0.0007846713066101074,500
Q-Learning,container,3,44,0.0,50.0,-9.268,0.0008162021636962891,500
DQN,container,1,42,3.5999999999999996,8.408,-14.88,0.019661239782969155,500
DQN,container,2,43,3.5999999999999996,8.408,-14.88,0.019688900311787924,500
DQN,container,3,44,3.5999999999999996,8.408,-14.88,0.019507495562235515,500
