algorithm,scenario,run,success_rate,avg_steps,avg_reward
Q-Learning,static,1,100.0,8.0,3.0
Q-Learning,static,2,100.0,8.0,3.0
Q-Learning,static,3,100.0,8.0,3.0
DQN,static,1,0.0,2.026,-12.026
DQN,static,2,0.0,2.026,-12.026
DQN,static,3,0.0,2.026,-12.026
Q-Learning,random_start,1,100.0,4.256,6.744
Q-Learning,random_start,2,100.0,4.124,6.876
Q-Learning,random_start,3,100.0,4.048,6.952
DQN,random_start,1,100.0,4.37,6.63
DQN,random_start,2,100.0,4.37,6.63
DQN,random_start,3,100.0,4.37,6.63
Q-Learning,random_goal,1,37.8,4.322751322751323,-19.246
Q-Learning,random_goal,2,38.6,4.331606217616581,-18.916
Q-Learning,random_goal,3,41.199999999999996,4.694174757281553,-17.982
DQN,random_goal,1,17.4,8.22,-14.566
DQN,random_goal,2,17.4,8.22,-14.566
DQN,random_goal,3,17.4,8.22,-14.566
Q-Learning,random_obstacles,1,0.0,50.0,-16.308
Q-Learning,random_obstacles,2,0.0,50.0,-15.952
Q-Learning,random_obstacles,3,0.0,50.0,-15.874
DQN,random_obstacles,1,32.0,5.048,-8.328
DQN,random_obstacles,2,32.0,5.048,-8.328
DQN,random_obstacles,3,32.0,5.048,-8.328
Q-Learning,container,1,0.0,50.0,-12.184
Q-Learning,container,2,0.0,50.0,-12.386
Q-Learning,container,3,0.0,50.0,-12.406
DQN,container,1,3.5999999999999996,8.408,-14.88
DQN,container,2,3.5999999999999996,8.408,-14.88
DQN,container,3,3.5999999999999996,8.408,-14.88
