algorithm,scenario,run,seed,success_rate,avg_steps,avg_reward,duration_minutes,episodes
Q-Learning,static,1,42,100.0,8.0,3.0,0.0004186511039733887,500
Q-Learning,static,2,43,100.0,8.0,3.0,0.0003780047098795573,500
Q-Learning,static,3,44,100.0,8.0,3.0,0.0003831148147583008,500
DQN,static,1,42,0.0,2.026,-12.026,0.039353811740875246,500
DQN,static,2,43,0.0,2.026,-12.026,0.005905822912851969,500
DQN,static,3,44,0.0,2.026,-12.026,0.0055131673812866214,500
Q-Learning,random_start,1,42,100.0,4.028,6.972,0.00034651358922322594,500
Q-Learning,random_start,2,43,100.0,4.18,6.82,0.00033361117045084635,500
Q-Learning,random_start,3,44,100.0,4.194,6.806,0.0003179311752319336,500
DQN,random_start,1,42,100.0,4.37,6.63,0.011506152153015137,500
DQN,random_start,2,43,100.0,4.37,6.63,0.011447338263193767,500
DQN,random_start,3,44,100.0,4.37,6.63,0.011326114336649576,500
Q-Learning,random_goal,1,42,12.4,1.5,-17.218,0.0006222367286682129,500
Q-Learning,random_goal,2,43,10.2,1.4509803921568627,-17.884,0.0004986961682637533,500
Q-Learning,random_goal,3,44,9.0,1.5333333333333334,-18.258,0.0005286018053690593,500
DQN,random_goal,1,42,17.4,8.22,-14.566,0.02078385353088379,500
DQN,random_goal,2,43,17.4,8.22,-14.566,0.02065654198328654,500
DQN,random_goal,3,44,17.4,8.22,-14.566,0.020747657616933188,500
Q-Learning,random_obstacles,1,42,36.0,8.0,-7.622,0.00044077237447102865,500
Q-Learning,random_obstacles,2,43,32.800000000000004,8.0,-8.126,0.00045050779978434243,500
Q-Learning,random_obstacles,3,44,33.0,8.0,-8.02,0.00044457117716471356,500
DQN,random_obstacles,1,42,32.0,5.048,-8.328,0.013895555337270101,500
DQN,random_obstacles,2,43,32.0,5.048,-8.328,0.013513473669687907,500
DQN,random_obstacles,3,44,32.0,5.048,-8.328,0.013421515623728434,500
Q-Learning,container,1,42,0.0,50.0,-10.838,0.0008853991826375325,500
Q-Learning,container,2,43,0.0,50.0,-9.842,0.0008753776550292969,500
Q-Learning,container,3,44,0.0,50.0,-10.382,0.000913083553314209,500
DQN,container,1,42,3.5999999999999996,8.408,-14.88,0.021121454238891602,500
DQN,container,2,43,3.5999999999999996,8.408,-14.88,0.020947575569152832,500
DQN,container,3,44,3.5999999999999996,8.408,-14.88,0.0208298921585083,500
