scenario,run,train_success_rate,eval_success_rate,eval_avg_steps,eval_avg_reward,final_exploration,memory_size,avg_loss,duration_minutes
static,1,4.0,0.0,2.0,-12.0,0.1,3570,1.5048826667666435,0.2862886627515157
static,2,4.0,0.0,2.0,-12.0,0.1,3570,1.5048826667666435,0.3300778945287069
static,3,4.0,0.0,2.0,-12.0,0.1,3570,1.5048826667666435,0.3075865745544434
random_start,1,80.2,100.0,4.31,6.69,0.1,2406,7.234304447770119,0.22005667686462402
random_start,2,80.2,100.0,4.31,6.69,0.1,2406,7.234304447770119,0.17137470245361328
random_start,3,80.2,100.0,4.31,6.69,0.1,2406,7.234304447770119,0.15258896350860596
random_goal,1,21.0,18.0,8.0,-14.22,0.1,4893,11.040420731306076,0.33990679184595746
random_goal,2,21.0,18.0,8.0,-14.22,0.1,4893,11.040420731306076,0.44710435072580973
random_goal,3,21.0,18.0,8.0,-14.22,0.1,4893,11.040420731306076,0.3891713976860046
random_obstacles,1,9.4,36.0,5.41,-7.85,0.1,3525,4.647666313648224,0.28851686318715414
random_obstacles,2,9.4,36.0,5.41,-7.85,0.1,3525,4.647666313648224,0.3134170730908712
random_obstacles,3,9.4,36.0,5.41,-7.85,0.1,3525,4.647666313648224,0.24419873158137004
container,1,1.6,4.0,8.01,-13.69,0.1,3072,4.606333274245262,0.19205435911814372
container,2,1.6,4.0,8.01,-13.69,0.1,3072,4.606333274245262,0.18537938594818115
container,3,1.6,4.0,8.01,-13.69,0.1,3072,4.606333274245262,0.19788192510604857
