scenario,run,train_success_rate,eval_success_rate,eval_avg_steps,eval_avg_reward,final_exploration,memory_size,avg_loss,duration_minutes
static,1,25.0,86.0,11.23,-3.17,0.08157186144027828,4076,5.310778794884682,0.2945134083429972
static,2,25.0,86.0,11.23,-3.17,0.08157186144027828,4076,5.310778794884682,0.3128161867459615
static,3,25.0,86.0,11.23,-3.17,0.08157186144027828,4076,5.310778794884682,0.2732710282007853
random_start,1,69.6,100.0,4.3,6.7,0.08157186144027828,2761,3.688914611339569,0.17098087469736736
random_start,2,69.6,100.0,4.3,6.7,0.08157186144027828,2761,3.688914611339569,0.18385364214579264
random_start,3,69.6,100.0,4.3,6.7,0.08157186144027828,2761,3.688914611339569,0.21383307377497354
random_goal,1,19.6,24.0,8.76,-13.72,0.08157186144027828,4963,9.295778009295464,0.31103553374608356
random_goal,2,19.6,24.0,8.76,-13.72,0.08157186144027828,4963,9.295778009295464,0.3529861370722453
random_goal,3,19.6,24.0,8.76,-13.72,0.08157186144027828,4963,9.295778009295464,0.3049149751663208
random_obstacles,1,17.599999999999998,32.0,5.02,-8.3,0.08157186144027828,3739,8.854366450309753,0.2274681607882182
random_obstacles,2,17.599999999999998,32.0,5.02,-8.3,0.08157186144027828,3739,8.854366450309753,0.21322446664174396
random_obstacles,3,17.599999999999998,32.0,5.02,-8.3,0.08157186144027828,3739,8.854366450309753,0.21475391785303752
container,1,2.1999999999999997,2.0,3.65,-11.15,0.08157186144027828,3050,5.887226563394069,0.17876855532328287
container,2,2.1999999999999997,2.0,3.65,-11.15,0.08157186144027828,3050,5.887226563394069,0.2146434783935547
container,3,2.1999999999999997,2.0,3.65,-11.15,0.08157186144027828,3050,5.887226563394069,0.1742105484008789
